Designator,Mid X,Mid Y,Rotation,Layer
D1,122.9977,-80.787399,0.0,top
D10,142.1816,-99.937199,0.0,top
D11,161.2795,-119.161399,0.0,top
D12,142.1847,-84.7318,180.0,top
D13,142.1847,-103.7917,180.0,top
D14,122.9899,-99.930999,0.0,top
D15,141.6495,-122.3069,180.0,top
D16,161.4735,-84.7786,180.0,top
D18,143.1888,-58.3963,0.0,top
D2,142.1816,-80.793599,0.0,top
D20,161.4735,-103.8385,180.0,top
D24,161.4389,-122.1784,180.0,top
D3,161.2795,-99.983999,0.0,top
D4,123.4012,-84.7256,180.0,top
D5,122.9899,-119.108399,0.0,top
D6,142.1816,-119.114599,0.0,top
D7,122.5546,-103.7855,180.0,top
D8,122.3741,-122.1784,180.0,top
D9,161.2795,-80.840399,0.0,top
SW1,159.8288,-58.3069,0.0,top
SW10,122.9899,-111.9384,0.0,top
SW13,142.1816,-73.6236,0.0,top
SW14,142.1816,-92.7672,0.0,top
SW15,142.1816,-111.9446,0.0,top
SW16,161.2795,-73.6121,0.0,top
SW17,161.2795,-92.814,0.0,top
SW18,161.2795,-111.9914,0.0,top
SW4,122.9899,-73.6121,0.0,top
SW7,122.9899,-92.761,0.0,top
U1,124.1659,-54.9448,0.0,top
